date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:20	71136/71136	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2007:52:08%20GMT	https://seantheme.com/color-admin/admin/html/index.html	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/html/index.html	(from )
15:55:21	50/50	---MCZ	200	added ('OK')	text/plain	etag:W/%2265de8922-1e%22	https://seantheme.com/robots.txt		(from )
15:55:21	203825/203825	---MCZ	200	added ('OK')	text/css	etag:W/%22669f6127-31c31%22	https://seantheme.com/color-admin/admin/assets/css/vendor.min.css	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/css/vendor.min.css	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:22	866988/866988	---MCZ	200	added ('OK')	text/css	etag:W/%2266a3c7e1-d3aac%22	https://seantheme.com/color-admin/admin/assets/css/default/app.min.css	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/css/default/app.min.css	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:22	6107/6107	---MCZ	200	added ('OK')	text/css	etag:W/%2265de891a-19eb%22	https://seantheme.com/color-admin/admin/assets/plugins/jvectormap-next/jquery-jvectormap.css	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/plugins/jvectormap-next/jquery-jvectormap.css	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:22	15774/15774	---MCZ	200	added ('OK')	text/css	etag:W/%2265de8919-4328%22	https://seantheme.com/color-admin/admin/assets/plugins/bootstrap-datepicker/dist/css/bootstrap-datepicker.css	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/plugins/bootstrap-datepicker/dist/css/bootstrap-datepicker.css	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:22	1595/1595	---MCZ	200	added ('OK')	text/css	etag:W/%2265cb8487-7b8%22	https://seantheme.com/color-admin/admin/assets/plugins/gritter/css/jquery.gritter.css	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/plugins/gritter/css/jquery.gritter.css	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:23	3528/3528	---M--	200	added ('OK')	image/jpeg	etag:%2265de8919-dc8%22	https://seantheme.com/color-admin/admin/assets/img/user/user-1.jpg	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/img/user/user-1.jpg	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:23	8406/8406	---M--	200	added ('OK')	image/jpeg	etag:%2265de8919-20d6%22	https://seantheme.com/color-admin/admin/assets/img/user/user-2.jpg	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/img/user/user-2.jpg	(from https://seantheme.com/color-admin/admin/html/index.html)
15:55:23	4410/4410	---M--	200	added ('OK')	image/jpeg	etag:%2265de8919-113a%22	https://seantheme.com/color-admin/admin/assets/img/user/user-13.jpg	C:/Users/kayon/Documents/projectDash/projectK/seantheme.com/color-admin/admin/assets/img/user/user-13.jpg	(from https://seantheme.com/color-admin/admin/html/index.html)
